precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
1000,0,Puertos Del Lago- Acacias,"Acacias, El Cazador",600,176,7,1,2,17,0,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),1.6666666666666667,5.681818181818182,1.6666666666666667,5.681818181818182,1000.0,1160.7142857142858,3
360, $ 86.600,Urquiza 132 8 vo piso,"Acassuso, San Isidro",28,28,1,1,1,45,Frente,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),12.857142857142858,12.857142857142858,10.703950703950705,11.222222222222221,343.3333333333333,2067.938775510204,3
350, $ 46.000,Urquiza  al 100 Acassuso,"Acassuso, San Isidro",33,30,1,1,1,40,Frente,E,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.606060606060606,11.666666666666666,10.703950703950705,11.222222222222221,343.3333333333333,2067.938775510204,3
320, $ 56.000,Av Santa Fe 782,"Acassuso, San Isidro",37,35,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),8.64864864864865,9.142857142857142,10.703950703950705,11.222222222222221,343.3333333333333,2067.938775510204,3
350,63.4,Almafuerte 900,"Acassuso, San Isidro",34,34,2,1,1,17,Frente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.294117647058824,10.294117647058824,10.506943830163644,11.376928046489324,450.0,2067.938775510204,3
500,90.0,Santa Fe 782,"Acassuso, San Isidro",50,45,2,1,1,20,0,E,Muy luminoso,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Zona Norte (GBA),10.0,11.11111111111111,10.506943830163644,11.376928046489324,450.0,2067.938775510204,3
400, $ 65.000,GUEMES 335,"Acassuso, San Isidro",38,38,2,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.526315789473685,10.526315789473685,10.506943830163644,11.376928046489324,450.0,2067.938775510204,3
450, $ 100.000,Av Santa Fe  al 700 Acassuso,"Acassuso, San Isidro",42,39,2,1,1,50,Contrafrente,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),10.714285714285714,11.538461538461538,10.506943830163644,11.376928046489324,450.0,2067.938775510204,3
550,0,Libertador al 15235 1 C,"Acassuso, San Isidro",50,41,2,1,1,51,0,0,Muy luminoso,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Zona Norte (GBA),11.0,13.414634146341463,10.506943830163644,11.376928046489324,450.0,2067.938775510204,3
2000,0,Av. Libertador 15100,"Acassuso, San Isidro",216,149,3,4,2,17,Frente,O,Muy luminoso,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Zona Norte (GBA),9.25925925925926,13.422818791946309,11.457141349456819,14.087931716524112,1235.0,2067.938775510204,3
