precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_medio_prov,num_provincia
380,0,MORENO 3100. Entre Urquiza y Francia,"Ciudad de Santa Fe, Santa Fe",145,145,4,2,3,50,0,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,2.6206896551724137,2.6206896551724137,4.111808178414349,4.490519237617639,391.0,419.06666666666666,Santa Fe
395,0,Av. French 369,"Ciudad de Santa Fe, Santa Fe",114,78,4,3,2,20,0,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,3.4649122807017543,5.064102564102564,4.111808178414349,4.490519237617639,391.0,419.06666666666666,Santa Fe
420, $ 85.000,Gobernador Crespo 2800,"Ciudad de Santa Fe, Santa Fe",87,82,4,1,3,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,4.827586206896552,5.121951219512195,4.111808178414349,4.490519237617639,391.0,419.06666666666666,Santa Fe
420, $ 86.000,CRESPO 2800. Entre 9 de julio y 1 de mayo,"Ciudad de Santa Fe, Santa Fe",111,111,4,2,3,40,Frente,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,3.7837837837837838,3.7837837837837838,4.111808178414349,4.490519237617639,391.0,419.06666666666666,Santa Fe
600,120.0,Bv Pellegrini al 2400,"Ciudad de Santa Fe, Santa Fe",80,80,5,2,2,10,Frente,S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,7.5,7.5,5.472222222222222,5.472222222222222,610.0,419.06666666666666,Santa Fe
620,0,9 de Julio  al 1400,"Ciudad de Santa Fe, Santa Fe",180,180,5,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,3.4444444444444446,3.4444444444444446,5.472222222222222,5.472222222222222,610.0,419.06666666666666,Santa Fe
850,140.0,Los Molinos,"Ciudad de Santa Fe, Santa Fe",600,208,6,3,3,4,0,E,Muy luminoso,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Santa Fe,1.4166666666666667,4.086538461538462,1.4166666666666667,5.8043311776718856,850.0,419.06666666666666,Santa Fe
850,140.0,Los Molinos,"Ciudad de Santa Fe, Santa Fe",600,113,6,3,3,4,0,N,Muy luminoso,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,1,1,0,0,0,0,1,1,1,0,0,0,1,0,Santa Fe,1.4166666666666667,7.522123893805309,1.4166666666666667,5.8043311776718856,850.0,419.06666666666666,Santa Fe
700,400.0,Santiago del Estero 2600,"Ciudad de Santa Fe, Santa Fe",317,255,8,3,4,38,Frente,0,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Santa Fe,2.2082018927444795,2.7450980392156863,2.2082018927444795,2.7450980392156863,700.0,419.06666666666666,Santa Fe
240, $ 73.000,RIVERA INDARTE 1595,"Cofico, Córdoba",42,42,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cordoba,5.714285714285714,5.714285714285714,5.885714285714286,6.019047619047619,240.0,332.3255813953488,Cordoba
